Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
Balada o Pisonji I Zugi-live,Dr Nele Karajlic,2001,413369,4,0.31,0.762,7,-8.092,1,0.336,0.0692,0.00000317,0.742,0.396,198.349,0,World
Necu da budem svabo u dotiranom filmu-live,Dr Nele Karajlic,2007,301682,4,0.39,0.923,2,-7.648,1,0.226,0.00355,0.000799,0.777,0.284,117.994,0,World
Odlazi Nam Deda,Dr Nele Karajlic,2007,65433,4,0.501,0.371,2,-4.83,1,0.0585,0.855,0.582,0.161,0.964,112.51,37,World
Canção Do Mar,Dulce Pontes,1999,316906,4,0.498,0.482,4,-11.179,0,0.0399,0.0733,0.000215,0.132,0.0395,120.203,43,World
Fado-Mae,Dulce Pontes,1999,214560,4,0.412,0.187,11,-11.612,0,0.0323,0.911,0.0000744,0.11,0.135,111.601,29,World
Lusitana Paixão,Dulce Pontes,1999,224826,4,0.588,0.437,6,-8.3,0,0.0271,0.52,0.000236,0.0947,0.245,133.842,27,World
Pajarito Voló (feat. Rubén Blades),Eliades Ochoa,1996,231493,4,0.495,0.408,0,-12.56,1,0.0429,0.725,0.000152,0.136,0.602,101.807,30,World
Siboney,Eliades Ochoa,1996,265733,4,0.56,0.404,1,-8.006,1,0.0458,0.544,0.869,0.111,0.32,110.476,26,World
Vamos a Bailar un Son,Eliades Ochoa,1996,312642,4,0.626,0.698,2,-7.54,1,0.0379,0.504,0.0000549,0.267,0.915,95.446,26,World
West (feat. Charlie Musselwhite),Eliades Ochoa,1998,191040,4,0.761,0.292,7,-11.556,1,0.043,0.786,0.0000204,0.27,0.754,129.963,16,World
Mi cafetal,Eliades Ochoa,2000,230693,4,0.481,0.676,8,-8.113,1,0.0349,0.758,0.54,0.0935,0.961,90.136,31,World
Canto a la Habana,Eliades Ochoa,2001,284005,4,0.718,0.809,0,-1.656,0,0.0371,0.384,0,0.258,0.952,95.901,7,World
Lágrimas Negras,Eliades Ochoa,2009,305906,4,0.575,0.381,0,-14.734,0,0.0356,0.506,0.0000434,0.0885,0.869,86.418,6,World
Boadicea,Enya,1984,212360,5,0.163,0.0255,7,-27.41,1,0.0445,0.977,0.000225,0.0912,0.144,66.269,44,World
Orinoco Flow (Sail Away) - Single Version,Enya,1988,225840,4,0.691,0.439,0,-10.378,1,0.0284,0.678,0.000335,0.127,0.425,114.991,48,World
Wild Child,Enya,1988,227493,3,0.6,0.372,0,-10.477,1,0.0256,0.726,0.59,0.154,0.553,79.705,61,World
Aníron,Enya,2001,164613,3,0.177,0.305,1,-14.082,1,0.036,0.937,0.827,0.0913,0.035,128.585,59,World
May It Be,Enya,2001,209693,4,0.151,0.172,9,-17.018,1,0.0383,0.981,0.0238,0.133,0.103,81.397,54,World
Amarantine,Enya,2005,190533,4,0.54,0.279,8,-12.031,1,0.0317,0.908,0.0414,0.109,0.218,79.71,58,World
Echoes in Rain,Enya,2015,215453,4,0.693,0.396,9,-9.428,1,0.0298,0.826,0.803,0.0847,0.499,93.875,57,World
Expensive Shit,Fela Kuti,1975,793200,4,0.67,0.875,7,-7.668,0,0.106,0.219,0.4,0.0859,0.676,123.563,43,World
Sorrow Tears and Blood,Fela Kuti,1975,615906,4,0.822,0.803,5,-5.574,0,0.22,0.152,0.00449,0.157,0.83,101.184,32,World
Water No Get Enemy,Fela Kuti,1975,591693,4,0.639,0.926,10,-7.714,0,0.0585,0.11,0.0245,0.0901,0.889,91.021,52,World
Zombie,Fela Kuti,1976,745653,4,0.671,0.942,7,-5.141,1,0.187,0.386,0.014,0.384,0.572,131.442,47,World
No Agreement,Fela Kuti,1977,931600,4,0.77,0.831,10,-5.405,0,0.116,0.147,0.181,0.244,0.823,99.368,32,World
Roforofo Fight,Fela Kuti,1977,941106,4,0.594,0.923,5,-5.805,0,0.0787,0.0396,0.00557,0.0564,0.724,123.866,27,World
Coffin for Head of State,Fela Kuti,1978,1362466,4,0.724,0.705,5,-8.494,0,0.0533,0.485,0.0153,0.101,0.873,88.756,32,World
Gentleman,Fela Kuti,1978,881240,4,0.578,0.823,10,-6.999,0,0.0643,0.166,0.209,0.107,0.77,85.922,42,World
Lady,Fela Kuti,1978,828360,4,0.737,0.871,1,-7.863,1,0.0516,0.207,0.000114,0.0887,0.542,106.78,38,World
Shakara (Oloje),Fela Kuti,1978,805733,4,0.648,0.714,10,-6.627,0,0.0411,0.272,0.047,0.216,0.596,119.992,35,World
Comin' Home Baby,Herbie Mann,1962,519600,4,0.651,0.143,5,-22.617,1,0.0531,0.752,0.421,0.138,0.601,78.792,42,World
A Man and a Woman,Herbie Mann,1964,145479,4,0.272,0.36,6,-16.714,0,0.0342,0.827,0.211,0.113,0.571,147.514,11,World
Batida diferente,Herbie Mann,1965,314546,4,0.723,0.341,8,-16.29,1,0.13,0.824,0.912,0.168,0.88,91.704,30,World
"Hold On,I'm Coming",Herbie Mann,1969,535333,4,0.497,0.616,10,-14.064,0,0.0456,0.0365,0.866,0.11,0.759,133.569,20,World
Memphis Underground,Herbie Mann,1969,429000,4,0.779,0.411,5,-17.37,1,0.0322,0.626,0.853,0.0848,0.941,113.08,36,World
Funky Nassau,Herbie Mann,1971,294066,4,0.54,0.376,2,-19.531,0,0.0445,0.0864,0.343,0.105,0.941,78.468,12,World
Qué Bueno Baila Usted,Ibrahim Ferrer,1999,279333,4,0.595,0.746,5,-4.733,1,0.0452,0.584,0,0.0703,0.712,87.363,45,World
Marieta,Ibrahim Ferrer,2001,355040,4,0.592,0.545,9,-7.091,1,0.0746,0.831,0,0.155,0.713,79.073,47,World
"Ay,Candela",Ibrahim Ferrer,2002,203013,4,0.679,0.539,9,-12.26,0,0.0467,0.672,0.0168,0.054,0.934,107.309,36,World
Aquellos Ojos Verdes,Ibrahim Ferrer,2003,294293,4,0.355,0.258,2,-12.952,1,0.0294,0.846,0.003,0.155,0.27,82.183,48,World
Bruca Maniguá,Ibrahim Ferrer,2003,284320,4,0.499,0.371,10,-11.624,1,0.0449,0.836,0.00557,0.131,0.684,110.274,53,World
Boee (Come To Me),Idan Raichel,2002,266600,4,0.762,0.672,5,-5.157,1,0.0317,0.334,0.0000644,0.192,0.57,115.977,29,World
Mi'Ma'amakim (Out of the Depths),Idan Raichel,2005,350400,3,0.415,0.739,11,-7.441,1,0.0524,0.642,0,0.159,0.386,179.692,15,World
Ve'Eem Tavo'ee Elay (And If You Will Come To Me),Idan Raichel,2007,212800,4,0.727,0.875,1,-5.273,0,0.0326,0.504,0,0.0995,0.232,112.023,41,World
BO'EE - Asher Swissa & Anorre Remix,Idan Raichel,2008,186393,4,0.642,0.8,0,-7.118,1,0.0369,0.0379,0.115,0.296,0.404,121.994,29,World
Thenpandi Cheemayile,Ilaiyaraaja,1983,272639,3,0.462,0.217,4,-11.436,0,0.0466,0.873,0,0.339,0.388,120.971,55,World
Mandram Vandha,Ilaiyaraaja,1985,287279,4,0.649,0.291,2,-11.807,1,0.0341,0.769,0.0475,0.145,0.285,115.769,46,World
